Radial Distance	H_beta	OIII
0.1	5.20150261808632	12.4836062834072
0.165	2.08060104723453	12.4836062834072
0.23	11.4433057597899	13.5239068070244
0.2975	29.1284146612834	37.4508188502215
0.3625	52.0150261808632	35.370217802987
0.43	60.3374303698013	65.5389329878877
0.495	55.135927751715	27.0478136140489
0.56	65.5389329878877	27.0478136140489
0.6275	69.7001350823567	80.1031403185294
0.6925	72.8210366532085	75.9419382240603
0.76	78.0225392712948	88.4255445074675
0.825	76.9822387476776	72.8210366532085
0.8925	87.3852439838502	94.6673476491711
0.9575	92.5867466019365	95.7076481727883
1.0225	89.4658450310847	97.7882492200229
1.09	95.7076481727883	80.1031403185294
1.155	96.7479486964056	93.6270471255538
1.22	89.4658450310847	97.7882492200229
1.2875	94.6673476491711	100.909150790875
1.3525	93.6270471255538	110.27185550343
1.42	90.506145554702	100.909150790875
1.485	101.949451314492	83.2240418893812
1.55	94.6673476491711	101.949451314492
1.6175	91.5464460783193	106.110653408961
1.6825	106.110653408961	79.0628397949121
1.75	92.5867466019365	114.433057597899
2.08	112.352456550665	114.433057597899
2.41	112.352456550665	117.553959168751
2.475	113.392757074282	113.392757074282
2.6075	121.71516126322	115.473358121516
3.135	122.755461786837	27.0478136140489
